Water_Test_ID,Location_ID,Test_Date,Source_Type,pH,Turbidity_NTU,TDS_mgL,Hardness_mgL,Chloride_mgL,Nitrate_mgL,Arsenic_mgL,Fluoride_mgL,Ecoli_Presence,Test_By
WQT_GAU_RIV_20240101,VLG_GAU_01,2024-01-01,River,6.98,0.41,177.18,97.33,7.58,4.49,0.0006,0.01,False,IoT_Sensor
WQT_GAU_HAN_20240101,VLG_GAU_01,2024-01-01,Handpump,7.76,1.07,143.4,125.37,40.57,8.33,0.0125,1.123,False,IoT_Sensor
WQT_GAU_PON_20240101,VLG_GAU_01,2024-01-01,Pond,7.38,9.67,268.7,95.08,9.86,7.87,0.0049,0.494,False,IoT_Sensor
WQT_SIL_WEL_20240101,VLG_SIL_01,2024-01-01,Well,6.95,3.39,178.98,120.59,6.66,6.18,0.0036,0.752,True,IoT_Sensor
WQT_SIL_PON_20240101,VLG_SIL_01,2024-01-01,Pond,6.23,16.75,227.91,87.98,8.13,6.77,0.0038,0.541,False,IoT_Sensor
WQT_SIL_HAN_20240101,VLG_SIL_01,2024-01-01,Handpump,7.8,1.89,266.55,154.59,33.02,12.26,0.0149,0.993,False,IoT_Sensor
WQT_AGR_BOR_20240101,VLG_AGR_01,2024-01-01,Borewell,7.87,0.09,534.89,280.15,60.35,11.85,0.0179,1.022,False,IoT_Sensor
WQT_AGR_HAN_20240101,VLG_AGR_01,2024-01-01,Handpump,7.64,2.15,249.12,224.03,41.67,15.81,0.0139,0.813,False,IoT_Sensor
WQT_AGR_RIV_20240101,VLG_AGR_01,2024-01-01,River,7.07,0.0,137.78,72.01,18.53,3.63,0.0001,0.432,False,IoT_Sensor
WQT_KOH_SPR_20240101,VLG_KOH_01,2024-01-01,Spring,7.05,2.99,97.11,99.92,3.16,4.82,0.0002,0.232,False,IoT_Sensor
WQT_KOH_STR_20240101,VLG_KOH_01,2024-01-01,Stream,7.1,0.98,123.19,104.9,11.78,3.8,0.0013,0.172,False,IoT_Sensor
WQT_KOH_TAN_20240101,VLG_KOH_01,2024-01-01,Tanker,7.11,1.03,133.84,96.42,21.93,3.51,0.0008,0.405,False,IoT_Sensor
WQT_SHI_STR_20240101,VLG_SHI_01,2024-01-01,Stream,7.05,0.81,152.86,62.73,6.17,1.11,0.0016,0.044,False,IoT_Sensor
WQT_SHI_RAI_20240101,VLG_SHI_01,2024-01-01,Rainwater Collector,6.29,5.46,56.57,12.65,0.83,2.69,0.0023,0.208,False,IoT_Sensor
WQT_SHI_SPR_20240101,VLG_SHI_01,2024-01-01,Spring,7.56,2.79,49.22,68.08,5.82,1.64,0.0009,0.265,False,IoT_Sensor
WQT_ITN_RIV_20240101,VLG_ITN_01,2024-01-01,River,7.7,13.61,204.72,53.74,8.51,3.73,0.0023,0.307,True,IoT_Sensor
WQT_ITN_GRA_20240101,VLG_ITN_01,2024-01-01,Gravity-fed System,7.66,3.34,155.67,55.43,11.28,5.45,0.0003,0.292,False,IoT_Sensor
WQT_ITN_STR_20240101,VLG_ITN_01,2024-01-01,Stream,7.59,5.94,90.58,67.12,3.36,7.02,0.0004,0.038,False,IoT_Sensor
WQT_AIT_PON_20240101,VLG_AIT_01,2024-01-01,Pond,6.71,7.23,171.3,38.29,13.5,11.44,0.0021,0.177,False,IoT_Sensor
WQT_AIT_RIV_20240101,VLG_AIT_01,2024-01-01,River,7.21,13.01,125.87,106.22,11.22,4.73,0.0022,0.426,False,IoT_Sensor
WQT_AIT_WEL_20240101,VLG_AIT_01,2024-01-01,Well,6.38,5.05,375.39,176.18,24.0,16.04,0.0056,1.012,False,IoT_Sensor
WQT_IMF_WEL_20240101,VLG_IMF_01,2024-01-01,Well,6.66,4.29,307.07,110.01,30.17,12.76,0.0119,0.817,False,IoT_Sensor
WQT_IMF_LAK_20240101,VLG_IMF_01,2024-01-01,Lake,6.92,5.66,286.78,82.56,17.28,7.04,0.0019,0.24,False,IoT_Sensor
WQT_IMF_HAN_20240101,VLG_IMF_01,2024-01-01,Handpump,7.69,0.07,324.1,149.4,25.7,13.95,0.0256,0.832,False,IoT_Sensor
WQT_TIN_HAN_20240101,VLG_TIN_01,2024-01-01,Handpump,7.62,1.86,344.08,177.68,43.73,3.4,0.0251,1.399,False,IoT_Sensor
WQT_TIN_BOR_20240101,VLG_TIN_01,2024-01-01,Borewell,7.65,1.01,486.0,338.06,60.41,13.15,0.0204,0.712,False,IoT_Sensor
WQT_TIN_PON_20240101,VLG_TIN_01,2024-01-01,Pond,6.88,22.35,194.9,153.1,39.73,6.19,0.0038,0.419,False,IoT_Sensor
WQT_PAS_RIV_20240101,VLG_PAS_01,2024-01-01,River,7.18,5.53,128.96,61.53,13.11,1.15,0.0021,0.455,False,IoT_Sensor
WQT_PAS_STR_20240101,VLG_PAS_01,2024-01-01,Stream,7.32,0.0,93.49,63.66,7.81,5.79,0.0006,0.353,False,IoT_Sensor
WQT_PAS_HAN_20240101,VLG_PAS_01,2024-01-01,Handpump,7.71,1.86,355.11,253.23,35.3,7.86,0.0177,0.716,False,IoT_Sensor
WQT_GAU_RIV_20240102,VLG_GAU_01,2024-01-02,River,7.59,4.63,81.63,94.62,16.33,0.12,0.0003,0.292,False,IoT_Sensor
WQT_GAU_HAN_20240102,VLG_GAU_01,2024-01-02,Handpump,7.55,0.78,309.15,174.64,53.41,12.26,0.0221,0.721,False,IoT_Sensor
WQT_GAU_PON_20240102,VLG_GAU_01,2024-01-02,Pond,6.57,5.76,238.89,107.69,22.18,11.16,0.0044,0.446,False,IoT_Sensor
WQT_SIL_WEL_20240102,VLG_SIL_01,2024-01-02,Well,7.53,3.01,281.21,187.25,44.12,15.73,0.0083,0.669,False,IoT_Sensor
WQT_SIL_PON_20240102,VLG_SIL_01,2024-01-02,Pond,6.42,10.44,192.92,156.38,20.09,10.29,0.0024,0.513,False,IoT_Sensor
WQT_SIL_HAN_20240102,VLG_SIL_01,2024-01-02,Handpump,7.6,2.44,120.55,159.58,44.65,5.19,0.0091,0.54,False,IoT_Sensor
WQT_AGR_BOR_20240102,VLG_AGR_01,2024-01-02,Borewell,7.99,1.64,383.29,203.98,9.89,26.08,0.0159,0.881,False,IoT_Sensor
WQT_AGR_HAN_20240102,VLG_AGR_01,2024-01-02,Handpump,7.74,1.21,320.54,212.09,43.44,8.88,0.014,0.978,False,IoT_Sensor
WQT_AGR_RIV_20240102,VLG_AGR_01,2024-01-02,River,7.5,6.7,121.03,100.05,22.56,5.18,0.0031,0.126,False,IoT_Sensor
WQT_KOH_SPR_20240102,VLG_KOH_01,2024-01-02,Spring,7.43,7.63,88.7,48.08,8.39,3.0,0.0005,0.086,False,IoT_Sensor
WQT_KOH_STR_20240102,VLG_KOH_01,2024-01-02,Stream,7.24,3.66,159.39,63.59,5.42,5.08,0.0007,0.036,False,IoT_Sensor
WQT_KOH_TAN_20240102,VLG_KOH_01,2024-01-02,Tanker,7.1,0.16,146.7,62.99,23.82,5.67,0.0012,0.507,False,IoT_Sensor
WQT_SHI_STR_20240102,VLG_SHI_01,2024-01-02,Stream,7.46,3.1,185.62,95.16,11.75,3.48,0.001,0.225,False,IoT_Sensor
WQT_SHI_RAI_20240102,VLG_SHI_01,2024-01-02,Rainwater Collector,6.26,3.72,18.95,11.52,6.99,3.33,0.0007,0.068,False,IoT_Sensor
WQT_SHI_SPR_20240102,VLG_SHI_01,2024-01-02,Spring,7.43,2.85,106.76,61.67,7.37,1.99,0.0007,0.163,False,IoT_Sensor
WQT_ITN_RIV_20240102,VLG_ITN_01,2024-01-02,River,7.25,11.46,128.42,65.47,10.4,2.17,0.0024,0.153,True,IoT_Sensor
WQT_ITN_GRA_20240102,VLG_ITN_01,2024-01-02,Gravity-fed System,7.31,5.12,75.52,50.9,8.91,2.91,0.0005,0.21,False,IoT_Sensor
WQT_ITN_STR_20240102,VLG_ITN_01,2024-01-02,Stream,7.45,1.04,125.5,94.84,9.6,3.01,0.0016,0.157,False,IoT_Sensor
WQT_AIT_PON_20240102,VLG_AIT_01,2024-01-02,Pond,7.13,11.54,222.36,100.3,13.82,6.82,0.0049,0.409,False,IoT_Sensor
WQT_AIT_RIV_20240102,VLG_AIT_01,2024-01-02,River,7.0,3.02,58.12,42.36,16.63,7.82,0.0034,0.479,False,IoT_Sensor
WQT_AIT_WEL_20240102,VLG_AIT_01,2024-01-02,Well,7.04,4.55,212.71,160.36,30.84,4.22,0.0061,0.653,False,IoT_Sensor
WQT_IMF_WEL_20240102,VLG_IMF_01,2024-01-02,Well,7.2,1.59,325.35,93.66,30.41,4.03,0.0041,0.716,False,IoT_Sensor
WQT_IMF_LAK_20240102,VLG_IMF_01,2024-01-02,Lake,7.14,8.53,280.4,91.61,14.55,5.48,0.0014,0.606,False,IoT_Sensor
WQT_IMF_HAN_20240102,VLG_IMF_01,2024-01-02,Handpump,7.3,1.72,215.02,194.06,23.66,14.59,0.0267,0.776,False,IoT_Sensor
WQT_TIN_HAN_20240102,VLG_TIN_01,2024-01-02,Handpump,7.49,1.95,357.44,170.33,49.7,10.49,0.013,0.574,False,IoT_Sensor
WQT_TIN_BOR_20240102,VLG_TIN_01,2024-01-02,Borewell,7.5,1.47,429.75,300.01,55.0,9.34,0.0222,0.641,False,IoT_Sensor
WQT_TIN_PON_20240102,VLG_TIN_01,2024-01-02,Pond,6.87,9.38,183.0,57.06,30.83,9.14,0.0034,0.416,False,IoT_Sensor
WQT_PAS_RIV_20240102,VLG_PAS_01,2024-01-02,River,7.01,12.19,62.28,80.53,11.37,7.92,0.0031,0.273,False,IoT_Sensor
WQT_PAS_STR_20240102,VLG_PAS_01,2024-01-02,Stream,7.15,1.99,140.32,100.88,16.19,0.0,0.0005,0.049,False,IoT_Sensor
